Source,Key,English,Korean
CLI,add.added_files,Added {count} files,{count}개 파일 추가 완료
CLI,add.adding,Adding {component}...,{component} 추가 중...
CLI,add.all_enabled,All requested components are already enabled!,요청한 모든 컴포넌트가 이미 활성화됨!
CLI,add.already_enabled,Already enabled: {components},이미 활성화됨: {components}
CLI,add.auto_added_db,Auto-added database component for scheduler persistence,스케줄러 영속성을 위한 데이터베이스 컴포넌트 자동 추가됨
CLI,add.auto_added_deps,Auto-added dependencies: {deps},자동 추가된 의존성: {deps}
CLI,add.bracket_override,Bracket syntax 'scheduler[{engine}]' overrides --backend {backend},대괄호 구문 'scheduler[{engine}]'이(가) --backend {backend}을(를) 덮어씁니다
CLI,add.components_to_add,Components to add:,추가할 컴포넌트:
CLI,add.confirm,Add these components?,이 컴포넌트를 추가하시겠습니까?
CLI,add.error_no_args,Error: components argument is required (or use --interactive),오류: components 인수가 필요합니다 (또는 --interactive 사용)
CLI,add.failed,Failed to add components: {error},컴포넌트 추가 실패: {error}
CLI,add.failed_component,Failed to add {component}: {error},{component} 추가 실패: {error}
CLI,add.interactive_hint,Or: aegis add --interactive,또는: aegis add --interactive
CLI,add.invalid_format,Invalid component format: {error},컴포넌트 형식 오류: {error}
CLI,add.invalid_scheduler_backend,Invalid scheduler backend: '{backend}',유효하지 않은 스케줄러 백엔드: '{backend}'
CLI,add.load_config_failed,Failed to load project configuration: {error},프로젝트 구성 로드 실패: {error}
CLI,add.postgres_coming,Note: PostgreSQL support coming in future release,참고: PostgreSQL 지원은 향후 릴리스에서 추가 예정
CLI,add.project,Project: {path},프로젝트: {path}
CLI,add.scheduler_backend,Scheduler backend: {backend},스케줄러 백엔드: {backend}
CLI,add.skipped_files,Skipped {count} existing files,{count}개 기존 파일 건너뜀
CLI,add.success,Components added successfully!,컴포넌트 추가 완료!
CLI,add.title,Aegis Stack - Add Components,Aegis Stack - 컴포넌트 추가
CLI,add.updating,Updating project...,프로젝트 업데이트 중...
CLI,add.usage_hint,"Usage: aegis add scheduler,worker","사용법: aegis add scheduler,worker"
CLI,add.valid_backends,Valid options: {options},유효한 옵션: {options}
CLI,add.validation_failed,Component validation failed: {error},컴포넌트 유효성 검사 실패: {error}
CLI,add_service.added_files,Added {count} files,{count}개 파일 추가 완료
CLI,add_service.adding_component,Adding required component: {component}...,필수 컴포넌트 추가 중: {component}...
CLI,add_service.adding_service,Adding service: {service}...,서비스 추가 중: {service}...
CLI,add_service.ai_set_api_key,"   2. Set provider API key ({env_var}, etc.)",   2. 제공자 API 키 설정 ({env_var} 등)
CLI,add_service.ai_set_provider,"   1. Set {env_var} in .env (openai, anthropic, google, groq)","   1. .env에 {env_var} 설정 (openai, anthropic, google, groq)"
CLI,add_service.ai_setup,AI Service Setup:,AI 서비스 설정:
CLI,add_service.ai_test_cli,   3. Test with CLI: {cmd},   3. CLI로 테스트: {cmd}
CLI,add_service.all_enabled,All requested services are already enabled!,요청한 모든 서비스가 이미 활성화됨!
CLI,add_service.already_enabled,Already enabled: {services},이미 활성화됨: {services}
CLI,add_service.already_have_components,Already have required components: {components},필수 컴포넌트 이미 보유: {components}
CLI,add_service.applying_migrations,Applying database migrations...,데이터베이스 마이그레이션 적용 중...
CLI,add_service.auth_create_users,   1. Create test users: {cmd},   1. 테스트 사용자 생성: {cmd}
CLI,add_service.auth_setup,Auth Service Setup:,Auth 서비스 설정:
CLI,add_service.auth_view_routes,   2. View auth routes: {url},   2. 인증 라우트 확인: {url}
CLI,add_service.bootstrap_alembic,Bootstrapping alembic infrastructure...,Alembic 인프라 부트스트랩 중...
CLI,add_service.confirm,Add these services?,이 서비스를 추가하시겠습니까?
CLI,add_service.created_file,Created: {file},생성됨: {file}
CLI,add_service.error_no_args,Error: services argument is required (or use --interactive),오류: services 인수가 필요합니다 (또는 --interactive 사용)
CLI,add_service.failed,Failed to add services: {error},서비스 추가 실패: {error}
CLI,add_service.failed_component,Failed to add component {component}: {error},컴포넌트 {component} 추가 실패: {error}
CLI,add_service.failed_service,Failed to add service {service}: {error},서비스 {service} 추가 실패: {error}
CLI,add_service.generated_migration,Generated migration: {name},마이그레이션 생성됨: {name}
CLI,add_service.interactive_hint,Or: aegis add-service --interactive,또는: aegis add-service --interactive
CLI,add_service.interactive_ignores_args,Warning: --interactive flag ignores service arguments,경고: --interactive 플래그는 서비스 인수를 무시합니다
CLI,add_service.load_config_failed,Failed to load project configuration: {error},프로젝트 구성 로드 실패: {error}
CLI,add_service.migration_failed,Warning: Auto-migration failed. Run 'make migrate' manually.,경고: 자동 마이그레이션 실패. 'make migrate'를 수동으로 실행하세요.
CLI,add_service.no_selected,No services selected,선택된 서비스 없음
CLI,add_service.project,Project: {path},프로젝트: {path}
CLI,add_service.required_components,Required components (will be auto-added):,필수 컴포넌트 (자동 추가됨):
CLI,add_service.resolve_failed,Failed to resolve service dependencies: {error},서비스 의존성 해결 실패: {error}
CLI,add_service.services_to_add,Services to add:,추가할 서비스:
CLI,add_service.skipped_files,Skipped {count} existing files,{count}개 기존 파일 건너뜀
CLI,add_service.success,Services added successfully!,서비스 추가 완료!
CLI,add_service.title,Aegis Stack - Add Services,Aegis Stack - 서비스 추가
CLI,add_service.usage_hint,"Usage: aegis add-service auth,ai","사용법: aegis add-service auth,ai"
CLI,add_service.validation_failed,Service validation failed: {error},서비스 유효성 검사 실패: {error}
CLI,component.backend,FastAPI backend server,FastAPI 백엔드 서버
CLI,component.database,Database with SQLModel ORM (SQLite or PostgreSQL),SQLModel ORM 데이터베이스 (SQLite 또는 PostgreSQL)
CLI,component.frontend,Flet frontend interface,Flet 프론트엔드 인터페이스
CLI,component.ingress,Traefik reverse proxy and load balancer,Traefik 리버스 프록시 및 로드 밸런서
CLI,component.observability,"Logfire observability, tracing, and metrics","Logfire 관측성, 트레이싱 및 메트릭"
CLI,component.redis,Redis cache and message broker,Redis 캐시 및 메시지 브로커
CLI,component.scheduler,Scheduled task execution infrastructure,예약 작업 실행 인프라
CLI,component.worker,"Background task processing (arq, Dramatiq, or TaskIQ)","백그라운드 작업 처리 (arq, Dramatiq 또는 TaskIQ)"
CLI,components.backend_desc,  backend      - FastAPI backend server (always included),  backend      - FastAPI 백엔드 서버 (항상 포함)
CLI,components.core_title,CORE COMPONENTS,코어 컴포넌트
CLI,components.frontend_desc,  frontend     - Flet frontend interface (always included),  frontend     - Flet 프론트엔드 인터페이스 (항상 포함)
CLI,components.infra_title,INFRASTRUCTURE COMPONENTS,인프라 컴포넌트
CLI,components.recommends,Recommends: {deps},권장: {deps}
CLI,components.requires,Requires: {deps},필수: {deps}
CLI,components.usage_hint,"Use 'aegis init PROJECT_NAME --components redis,worker' to select components","'aegis init PROJECT_NAME --components redis,worker'로 컴포넌트를 선택하세요"
CLI,deploy.adding_host_key,Adding server to known_hosts...,서버를 known_hosts에 추가 중...
CLI,deploy.app_running,   Application running at: http://{host},   애플리케이션 실행 중: http://{host}
CLI,deploy.auto_rollback,Auto-rolling back to previous version...,이전 버전으로 자동 롤백 중...
CLI,deploy.backup_complete,Backup complete!,백업 완료!
CLI,deploy.backup_created,Backup created: {timestamp},백업 생성 완료: {timestamp}
CLI,deploy.backup_db,Backing up PostgreSQL database...,PostgreSQL 데이터베이스 백업 중...
CLI,deploy.backup_db_failed,"Warning: Database backup failed, continuing without it","경고: 데이터베이스 백업 실패, 백업 없이 계속 진행"
CLI,deploy.backup_failed,Failed to create backup: {error},백업 생성 실패: {error}
CLI,deploy.backup_pruned,Pruned old backup: {name},오래된 백업 정리됨: {name}
CLI,deploy.backups_header,Backups on {host} ({count} total):,{host}의 백업 ({count}개):
CLI,deploy.building,Building and starting services on server...,서버에서 서비스 빌드 및 시작 중...
CLI,deploy.check_status,   Check status: aegis deploy-status,   상태 확인: aegis deploy-status
CLI,deploy.checking_ssh,Checking SSH connectivity...,SSH 연결 확인 중...
CLI,deploy.col_database,Database,데이터베이스
CLI,deploy.col_size,Size,크기
CLI,deploy.col_timestamp,Timestamp,타임스탬프
CLI,deploy.complete,Deployment complete!,배포 완료!
CLI,deploy.copy_failed,Failed to copy setup script,설정 스크립트 복사 실패
CLI,deploy.copying_env,Copying {file} to server as .env...,{file}을(를) 서버에 .env로 복사 중...
CLI,deploy.copying_script,Copying setup script to server...,서버에 설정 스크립트 복사 중...
CLI,deploy.creating_backup,Creating backup {timestamp}...,백업 생성 중 {timestamp}...
CLI,deploy.creating_backup_on,Creating backup on {host}...,{host}에서 백업 생성 중...
CLI,deploy.deploying,Deploying to {host}...,{host}에 배포 중...
CLI,deploy.env_copy_failed,Failed to copy .env file,.env 파일 복사 실패
CLI,deploy.health_all_failed,All health check attempts failed,모든 헬스 체크 시도 실패
CLI,deploy.health_attempt,Health check attempt {n}/{total}...,헬스 체크 시도 {n}/{total}...
CLI,deploy.health_failed_hint,Deploy completed but health check failed. Check logs with: aegis deploy-logs,배포 완료되었지만 헬스 체크 실패. 로그 확인: aegis deploy-logs
CLI,deploy.health_passed,Health check passed,헬스 체크 통과
CLI,deploy.health_retry,"Health check failed, retrying in {interval}s...","헬스 체크 실패, {interval}초 후 재시도..."
CLI,deploy.health_waiting,Waiting for containers to stabilize...,컨테이너 안정화 대기 중...
CLI,deploy.init_docker_context,   Docker Context: {context},   Docker 컨텍스트: {context}
CLI,deploy.init_gitignore,Note: Consider adding .aegis/ to .gitignore to avoid committing deploy config,참고: 배포 구성 커밋 방지를 위해 .aegis/를 .gitignore에 추가하세요
CLI,deploy.init_host,   Host: {host},   호스트: {host}
CLI,deploy.init_path,   Path: {path},   경로: {path}
CLI,deploy.init_saved,Deploy configuration saved to {file},배포 구성 저장 완료: {file}
CLI,deploy.init_user,   User: {user},   사용자: {user}
CLI,deploy.mkdir_failed,Failed to create remote directory '{path}',원격 디렉토리 '{path}' 생성 실패
CLI,deploy.no_backups,No backups found.,백업을 찾을 수 없음.
CLI,deploy.no_backups_available,No backups available.,사용 가능한 백업 없음.
CLI,deploy.no_config,No deploy configuration found. Run 'aegis deploy-init' first.,배포 구성을 찾을 수 없음. 먼저 'aegis deploy-init'을 실행하세요.
CLI,deploy.no_existing,"No existing deployment found, skipping backup","기존 배포를 찾을 수 없음, 백업 건너뜀"
CLI,deploy.overseer,   Overseer dashboard: http://{host}/dashboard/,   Overseer 대시보드: http://{host}/dashboard/
CLI,deploy.prompt_host,Server IP or hostname,서버 IP 또는 호스트명
CLI,deploy.restart_failed,Failed to restart services,서비스 재시작 실패
CLI,deploy.restart_restarting,Restarting services...,서비스 재시작 중...
CLI,deploy.restart_success,Services restarted,서비스 재시작 완료
CLI,deploy.rollback_complete,Rollback complete!,롤백 완료!
CLI,deploy.rollback_db,Restoring database...,데이터베이스 복원 중...
CLI,deploy.rollback_db_failed,Warning: Database restore failed,경고: 데이터베이스 복원 실패
CLI,deploy.rollback_failed,Rollback failed! Manual intervention required.,롤백 실패! 수동 조치가 필요합니다.
CLI,deploy.rollback_failed_final,Rollback failed!,롤백 실패!
CLI,deploy.rollback_hint,Rollback with: aegis deploy-rollback --backup <timestamp>,롤백: aegis deploy-rollback --backup <timestamp>
CLI,deploy.rollback_not_found,Backup not found: {timestamp},백업을 찾을 수 없음: {timestamp}
CLI,deploy.rollback_pg_timeout,"PostgreSQL did not become ready, attempting restore anyway",PostgreSQL이 준비되지 않았지만 복원을 시도합니다
CLI,deploy.rollback_pg_wait,Waiting for PostgreSQL to be ready...,PostgreSQL 준비 대기 중...
CLI,deploy.rollback_restore_failed,Failed to restore files: {error},파일 복원 실패: {error}
CLI,deploy.rollback_restoring,Restoring files from backup {timestamp}...,백업 {timestamp}에서 파일 복원 중...
CLI,deploy.rollback_start_failed,Failed to start services after rollback,롤백 후 서비스 시작 실패
CLI,deploy.rollback_starting,Starting services...,서비스 시작 중...
CLI,deploy.rollback_stopping,Stopping services...,서비스 중지 중...
CLI,deploy.rolled_back,Rolled back to backup {timestamp},백업 {timestamp}으로 롤백 완료
CLI,deploy.rolling_back,Rolling back to backup {backup} on {host}...,{host}에서 백업 {backup}으로 롤백 중...
CLI,deploy.running_setup,Running server setup (this may take a few minutes)...,서버 설정 실행 중 (몇 분 소요될 수 있음)...
CLI,deploy.setup_complete,Server setup complete!,서버 설정 완료!
CLI,deploy.setup_failed,Server setup failed,서버 설정 실패
CLI,deploy.setup_next,Next: Run 'aegis deploy' to deploy your application,다음: 'aegis deploy'를 실행하여 애플리케이션을 배포하세요
CLI,deploy.setup_script_hint,Make sure your project was created with the ingress component.,프로젝트가 ingress 컴포넌트로 생성되었는지 확인하세요.
CLI,deploy.setup_script_missing,Server setup script not found: {path},서버 설정 스크립트를 찾을 수 없음: {path}
CLI,deploy.setup_title,Setting up server at {target}...,{target} 서버 설정 중...
CLI,deploy.setup_verify,Verifying installation:,설치 확인:
CLI,deploy.setup_verify_app_dir,  App Directory: {path},  앱 디렉토리: {path}
CLI,deploy.setup_verify_compose,  Docker Compose: {version},  Docker Compose: {version}
CLI,deploy.setup_verify_docker,  Docker: {version},  Docker: {version}
CLI,deploy.setup_verify_uv,  uv: {version},  uv: {version}
CLI,deploy.ssh_failed,SSH connection failed: {error},SSH 연결 실패: {error}
CLI,deploy.ssh_keyscan_failed,Failed to scan SSH host key: {error},SSH 호스트 키 스캔 실패: {error}
CLI,deploy.start_failed,Failed to start services,서비스 시작 실패
CLI,deploy.status_header,Service status on {host}:,{host}의 서비스 상태:
CLI,deploy.stop_failed,Failed to stop services,서비스 중지 실패
CLI,deploy.stop_stopping,Stopping services...,서비스 중지 중...
CLI,deploy.stop_success,Services stopped,서비스 중지 완료
CLI,deploy.stopping,Stopping existing services...,기존 서비스 중지 중...
CLI,deploy.sync_failed,Failed to sync files,파일 동기화 실패
CLI,deploy.syncing,Syncing files to server...,서버에 파일 동기화 중...
CLI,deploy.view_logs,   View logs: aegis deploy-logs,   로그 확인: aegis deploy-logs
CLI,ingress.acme_email,   ACME email: {email},   ACME 이메일: {email}
CLI,ingress.add_confirm,Add the ingress component?,Ingress 컴포넌트를 추가하시겠습니까?
CLI,ingress.add_failed,Failed to add ingress component: {error},Ingress 컴포넌트 추가 실패: {error}
CLI,ingress.added,Ingress component added.,Ingress 컴포넌트 추가 완료.
CLI,ingress.available_at,   Your app will be available at: https://{domain},   앱 접속 주소: https://{domain}
CLI,ingress.created_file,   Created: {file},   생성됨: {file}
CLI,ingress.domain_label,   Domain: {domain},   도메인: {domain}
CLI,ingress.domain_none,   Domain: (none - IP/PathPrefix routing),   도메인: (없음 - IP/PathPrefix 라우팅)
CLI,ingress.domain_prompt,"Domain name (e.g., example.com, or empty for IP-based routing)","도메인 이름 (예: example.com, IP 기반 라우팅은 비워두세요)"
CLI,ingress.email_prompt,Email for Let's Encrypt notifications,Let's Encrypt 알림용 이메일
CLI,ingress.email_required,Error: --email is required for TLS (needed for Let's Encrypt),오류: TLS에 --email 필수 (Let's Encrypt에 필요)
