Source,Key,English,Japanese
CLI,add.added_files,Added {count} files,{count} ファイル追加
CLI,add.adding,Adding {component}...,{component} を追加中...
CLI,add.all_enabled,All requested components are already enabled!,要求されたコンポーネントはすべて有効化済みです！
CLI,add.already_enabled,Already enabled: {components},有効化済み：{components}
CLI,add.auto_added_db,Auto-added database component for scheduler persistence,スケジューラ永続化のためデータベースコンポーネントを自動追加
CLI,add.auto_added_deps,Auto-added dependencies: {deps},依存を自動追加：{deps}
CLI,add.bracket_override,Bracket syntax 'scheduler[{engine}]' overrides --backend {backend},ブラケット構文 'scheduler[{engine}]' は --backend {backend} を上書きします
CLI,add.components_to_add,Components to add:,追加するコンポーネント：
CLI,add.confirm,Add these components?,これらのコンポーネントを追加しますか？
CLI,add.error_no_args,Error: components argument is required (or use --interactive),エラー：コンポーネント引数が必要です（または --interactive を使用）
CLI,add.failed,Failed to add components: {error},コンポーネント追加失敗：{error}
CLI,add.failed_component,Failed to add {component}: {error},{component} の追加失敗：{error}
CLI,add.interactive_hint,Or: aegis add --interactive,または：aegis add --interactive
CLI,add.invalid_format,Invalid component format: {error},不正なコンポーネント形式：{error}
CLI,add.invalid_scheduler_backend,Invalid scheduler backend: '{backend}',不正なスケジューラバックエンド：'{backend}'
CLI,add.load_config_failed,Failed to load project configuration: {error},プロジェクト設定の読み込み失敗：{error}
CLI,add.postgres_coming,Note: PostgreSQL support coming in future release,注意：PostgreSQL 対応は今後のリリースで追加予定です
CLI,add.project,Project: {path},プロジェクト：{path}
CLI,add.scheduler_backend,Scheduler backend: {backend},スケジューラバックエンド：{backend}
CLI,add.skipped_files,Skipped {count} existing files,{count} ファイルスキップ（既存）
CLI,add.success,Components added successfully!,コンポーネント追加完了！
CLI,add.title,Aegis Stack - Add Components,Aegis Stack — コンポーネント追加
CLI,add.updating,Updating project...,プロジェクトを更新中...
CLI,add.usage_hint,"Usage: aegis add scheduler,worker","使い方：aegis add scheduler,worker"
CLI,add.valid_backends,Valid options: {options},有効なオプション：{options}
CLI,add.validation_failed,Component validation failed: {error},コンポーネントバリデーション失敗：{error}
CLI,add_service.added_files,Added {count} files,{count} ファイル追加
CLI,add_service.adding_component,Adding required component: {component}...,必要なコンポーネントを追加中：{component}...
CLI,add_service.adding_service,Adding service: {service}...,サービスを追加中：{service}...
CLI,add_service.ai_set_api_key,"   2. Set provider API key ({env_var}, etc.)",   2. プロバイダーの API キーを設定（{env_var} など）
CLI,add_service.ai_set_provider,"   1. Set {env_var} in .env (openai, anthropic, google, groq)","   1. .env に {env_var} を設定（openai, anthropic, google, groq）"
CLI,add_service.ai_setup,AI Service Setup:,AI サービスのセットアップ：
CLI,add_service.ai_test_cli,   3. Test with CLI: {cmd},   3. CLI でテスト：{cmd}
CLI,add_service.all_enabled,All requested services are already enabled!,要求されたサービスはすべて有効化済みです！
CLI,add_service.already_enabled,Already enabled: {services},有効化済み：{services}
CLI,add_service.already_have_components,Already have required components: {components},必要なコンポーネントは設定済み：{components}
CLI,add_service.applying_migrations,Applying database migrations...,データベースマイグレーションを適用中...
CLI,add_service.auth_create_users,   1. Create test users: {cmd},   1. テストユーザーを作成：{cmd}
CLI,add_service.auth_setup,Auth Service Setup:,Auth サービスのセットアップ：
CLI,add_service.auth_view_routes,   2. View auth routes: {url},   2. 認証ルートを確認：{url}
CLI,add_service.bootstrap_alembic,Bootstrapping alembic infrastructure...,Alembic 基盤をブートストラップ中...
CLI,add_service.confirm,Add these services?,これらのサービスを追加しますか？
CLI,add_service.created_file,Created: {file},作成：{file}
CLI,add_service.error_no_args,Error: services argument is required (or use --interactive),エラー：サービス引数が必要です（または --interactive を使用）
CLI,add_service.failed,Failed to add services: {error},サービス追加失敗：{error}
CLI,add_service.failed_component,Failed to add component {component}: {error},コンポーネント {component} の追加失敗：{error}
CLI,add_service.failed_service,Failed to add service {service}: {error},サービス {service} の追加失敗：{error}
CLI,add_service.generated_migration,Generated migration: {name},マイグレーション生成：{name}
CLI,add_service.interactive_hint,Or: aegis add-service --interactive,または：aegis add-service --interactive
CLI,add_service.interactive_ignores_args,Warning: --interactive flag ignores service arguments,警告：--interactive フラグはサービス引数を無視します
CLI,add_service.load_config_failed,Failed to load project configuration: {error},プロジェクト設定の読み込み失敗：{error}
CLI,add_service.migration_failed,Warning: Auto-migration failed. Run 'make migrate' manually.,警告：自動マイグレーション失敗。手動で 'make migrate' を実行してください。
CLI,add_service.no_selected,No services selected,サービスが選択されていません
CLI,add_service.project,Project: {path},プロジェクト：{path}
CLI,add_service.required_components,Required components (will be auto-added):,必要なコンポーネント（自動追加）：
CLI,add_service.resolve_failed,Failed to resolve service dependencies: {error},サービス依存の解決に失敗：{error}
CLI,add_service.services_to_add,Services to add:,追加するサービス：
CLI,add_service.skipped_files,Skipped {count} existing files,{count} ファイルスキップ（既存）
CLI,add_service.success,Services added successfully!,サービス追加完了！
CLI,add_service.title,Aegis Stack - Add Services,Aegis Stack — サービス追加
CLI,add_service.usage_hint,"Usage: aegis add-service auth,ai","使い方：aegis add-service auth,ai"
CLI,add_service.validation_failed,Service validation failed: {error},サービスバリデーション失敗：{error}
CLI,component.backend,FastAPI backend server,FastAPI バックエンドサーバー
CLI,component.database,Database with SQLModel ORM (SQLite or PostgreSQL),SQLModel ORM 付きデータベース（SQLite / PostgreSQL）
CLI,component.frontend,Flet frontend interface,Flet フロントエンドインターフェース
CLI,component.ingress,Traefik reverse proxy and load balancer,Traefik リバースプロキシ＆ロードバランサー
CLI,component.observability,"Logfire observability, tracing, and metrics",Logfire による監視・トレース・メトリクス
CLI,component.redis,Redis cache and message broker,Redis キャッシュ＆メッセージブローカー
CLI,component.scheduler,Scheduled task execution infrastructure,定期タスク実行基盤
CLI,component.worker,"Background task processing (arq, Dramatiq, or TaskIQ)",バックグラウンドタスク処理（arq・Dramatiq・TaskIQ）
CLI,components.backend_desc,  backend      - FastAPI backend server (always included),  backend      - FastAPI バックエンドサーバー（常に含まれます）
CLI,components.core_title,CORE COMPONENTS,コアコンポーネント
CLI,components.frontend_desc,  frontend     - Flet frontend interface (always included),  frontend     - Flet フロントエンドインターフェース（常に含まれます）
CLI,components.infra_title,INFRASTRUCTURE COMPONENTS,インフラコンポーネント
CLI,components.recommends,Recommends: {deps},推奨：{deps}
CLI,components.requires,Requires: {deps},必須：{deps}
CLI,components.usage_hint,"Use 'aegis init PROJECT_NAME --components redis,worker' to select components","'aegis init PROJECT_NAME --components redis,worker' でコンポーネントを選択"
CLI,deploy.adding_host_key,Adding server to known_hosts...,サーバーを known_hosts に追加中...
CLI,deploy.app_running,   Application running at: http://{host},   アプリケーション：http://{host}
CLI,deploy.auto_rollback,Auto-rolling back to previous version...,前のバージョンに自動ロールバック中...
CLI,deploy.backup_complete,Backup complete!,バックアップ完了！
CLI,deploy.backup_created,Backup created: {timestamp},バックアップ作成：{timestamp}
CLI,deploy.backup_db,Backing up PostgreSQL database...,PostgreSQL データベースをバックアップ中...
CLI,deploy.backup_db_failed,"Warning: Database backup failed, continuing without it",警告：データベースバックアップ失敗、バックアップなしで続行
CLI,deploy.backup_failed,Failed to create backup: {error},バックアップ作成失敗：{error}
CLI,deploy.backup_pruned,Pruned old backup: {name},古いバックアップを削除：{name}
CLI,deploy.backups_header,Backups on {host} ({count} total):,{host} のバックアップ（合計 {count} 件）：
CLI,deploy.building,Building and starting services on server...,サーバーでサービスをビルド＆起動中...
CLI,deploy.check_status,   Check status: aegis deploy-status,   ステータス確認：aegis deploy-status
CLI,deploy.checking_ssh,Checking SSH connectivity...,SSH 接続を確認中...
CLI,deploy.col_database,Database,データベース
CLI,deploy.col_size,Size,サイズ
CLI,deploy.col_timestamp,Timestamp,タイムスタンプ
CLI,deploy.complete,Deployment complete!,デプロイ完了！
CLI,deploy.copy_failed,Failed to copy setup script,セットアップスクリプトのコピー失敗
CLI,deploy.copying_env,Copying {file} to server as .env...,{file} を .env としてサーバーにコピー中...
CLI,deploy.copying_script,Copying setup script to server...,セットアップスクリプトをサーバーにコピー中...
CLI,deploy.creating_backup,Creating backup {timestamp}...,バックアップ {timestamp} を作成中...
CLI,deploy.creating_backup_on,Creating backup on {host}...,{host} でバックアップを作成中...
CLI,deploy.deploying,Deploying to {host}...,{host} にデプロイ中...
CLI,deploy.env_copy_failed,Failed to copy .env file,.env ファイルのコピー失敗
CLI,deploy.health_all_failed,All health check attempts failed,すべてのヘルスチェックが失敗
CLI,deploy.health_attempt,Health check attempt {n}/{total}...,ヘルスチェック {n}/{total} 回目...
CLI,deploy.health_failed_hint,Deploy completed but health check failed. Check logs with: aegis deploy-logs,デプロイ完了但しヘルスチェック失敗。ログを確認：aegis deploy-logs
CLI,deploy.health_passed,Health check passed,ヘルスチェック合格
CLI,deploy.health_retry,"Health check failed, retrying in {interval}s...",ヘルスチェック失敗、{interval} 秒後に再試行...
CLI,deploy.health_waiting,Waiting for containers to stabilize...,コンテナの安定化を待機中...
CLI,deploy.init_docker_context,   Docker Context: {context},   Docker コンテキスト：{context}
CLI,deploy.init_gitignore,Note: Consider adding .aegis/ to .gitignore to avoid committing deploy config,注意：デプロイ設定のコミットを避けるため .aegis/ を .gitignore に追加検討してください
CLI,deploy.init_host,   Host: {host},   ホスト：{host}
CLI,deploy.init_path,   Path: {path},   パス：{path}
CLI,deploy.init_saved,Deploy configuration saved to {file},デプロイ設定を保存：{file}
CLI,deploy.init_user,   User: {user},   ユーザー：{user}
CLI,deploy.mkdir_failed,Failed to create remote directory '{path}',リモートディレクトリ '{path}' の作成失敗
CLI,deploy.no_backups,No backups found.,バックアップが見つかりません。
CLI,deploy.no_backups_available,No backups available.,利用可能なバックアップがありません。
CLI,deploy.no_config,No deploy configuration found. Run 'aegis deploy-init' first.,デプロイ設定が見つかりません。先に 'aegis deploy-init' を実行してください。
CLI,deploy.no_existing,"No existing deployment found, skipping backup",既存のデプロイが見つかりません、バックアップをスキップ
CLI,deploy.overseer,   Overseer dashboard: http://{host}/dashboard/,   Overseer ダッシュボード：http://{host}/dashboard/
CLI,deploy.prompt_host,Server IP or hostname,サーバーの IP またはホスト名
CLI,deploy.restart_failed,Failed to restart services,サービス再起動失敗
CLI,deploy.restart_restarting,Restarting services...,サービスを再起動中...
CLI,deploy.restart_success,Services restarted,サービス再起動完了
CLI,deploy.rollback_complete,Rollback complete!,ロールバック完了！
CLI,deploy.rollback_db,Restoring database...,データベースを復元中...
CLI,deploy.rollback_db_failed,Warning: Database restore failed,警告：データベース復元失敗
CLI,deploy.rollback_failed,Rollback failed! Manual intervention required.,ロールバック失敗！手動対応が必要です。
CLI,deploy.rollback_failed_final,Rollback failed!,ロールバック失敗！
CLI,deploy.rollback_hint,Rollback with: aegis deploy-rollback --backup <timestamp>,ロールバック：aegis deploy-rollback --backup <timestamp>
CLI,deploy.rollback_not_found,Backup not found: {timestamp},バックアップが見つかりません：{timestamp}
CLI,deploy.rollback_pg_timeout,"PostgreSQL did not become ready, attempting restore anyway",PostgreSQL の準備が完了しませんでした、復元を試行します
CLI,deploy.rollback_pg_wait,Waiting for PostgreSQL to be ready...,PostgreSQL の準備完了を待機中...
CLI,deploy.rollback_restore_failed,Failed to restore files: {error},ファイル復元失敗：{error}
CLI,deploy.rollback_restoring,Restoring files from backup {timestamp}...,バックアップ {timestamp} からファイルを復元中...
CLI,deploy.rollback_start_failed,Failed to start services after rollback,ロールバック後のサービス起動失敗
CLI,deploy.rollback_starting,Starting services...,サービスを起動中...
CLI,deploy.rollback_stopping,Stopping services...,サービスを停止中...
CLI,deploy.rolled_back,Rolled back to backup {timestamp},バックアップ {timestamp} にロールバック完了
CLI,deploy.rolling_back,Rolling back to backup {backup} on {host}...,{host} でバックアップ {backup} にロールバック中...
CLI,deploy.running_setup,Running server setup (this may take a few minutes)...,サーバーセットアップを実行中（数分かかる場合があります）...
CLI,deploy.setup_complete,Server setup complete!,サーバーセットアップ完了！
CLI,deploy.setup_failed,Server setup failed,サーバーセットアップ失敗
CLI,deploy.setup_next,Next: Run 'aegis deploy' to deploy your application,次に 'aegis deploy' でアプリケーションをデプロイしてください
CLI,deploy.setup_script_hint,Make sure your project was created with the ingress component.,プロジェクトが Ingress コンポーネント付きで作成されたか確認してください。
CLI,deploy.setup_script_missing,Server setup script not found: {path},サーバーセットアップスクリプトが見つかりません：{path}
CLI,deploy.setup_title,Setting up server at {target}...,サーバー {target} をセットアップ中...
CLI,deploy.setup_verify,Verifying installation:,インストール確認：
CLI,deploy.setup_verify_app_dir,  App Directory: {path},  アプリディレクトリ：{path}
CLI,deploy.setup_verify_compose,  Docker Compose: {version},  Docker Compose：{version}
CLI,deploy.setup_verify_docker,  Docker: {version},  Docker：{version}
CLI,deploy.setup_verify_uv,  uv: {version},  uv：{version}
CLI,deploy.ssh_failed,SSH connection failed: {error},SSH 接続失敗：{error}
CLI,deploy.ssh_keyscan_failed,Failed to scan SSH host key: {error},SSH ホストキーの取得失敗：{error}
CLI,deploy.start_failed,Failed to start services,サービスの起動失敗
CLI,deploy.status_header,Service status on {host}:,{host} のサービスステータス：
CLI,deploy.stop_failed,Failed to stop services,サービス停止失敗
CLI,deploy.stop_stopping,Stopping services...,サービスを停止中...
CLI,deploy.stop_success,Services stopped,サービス停止完了
CLI,deploy.stopping,Stopping existing services...,既存サービスを停止中...
CLI,deploy.sync_failed,Failed to sync files,ファイル同期失敗
CLI,deploy.syncing,Syncing files to server...,ファイルをサーバーに同期中...
CLI,deploy.view_logs,   View logs: aegis deploy-logs,   ログ確認：aegis deploy-logs
CLI,ingress.acme_email,   ACME email: {email},   ACME メール：{email}
CLI,ingress.add_confirm,Add the ingress component?,Ingress コンポーネントを追加しますか？
CLI,ingress.add_failed,Failed to add ingress component: {error},Ingress コンポーネントの追加失敗：{error}
CLI,ingress.added,Ingress component added.,Ingress コンポーネント追加完了。
CLI,ingress.available_at,   Your app will be available at: https://{domain},   アプリの URL：https://{domain}
CLI,ingress.created_file,   Created: {file},   作成：{file}
CLI,ingress.domain_label,   Domain: {domain},   ドメイン：{domain}
CLI,ingress.domain_none,   Domain: (none - IP/PathPrefix routing),   ドメイン：（なし — IP/PathPrefix ルーティング）
CLI,ingress.domain_prompt,"Domain name (e.g., example.com, or empty for IP-based routing)",ドメイン名（例：example.com、IP ベースルーティングの場合は空欄）
CLI,ingress.email_prompt,Email for Let's Encrypt notifications,Let's Encrypt 通知用メールアドレス
CLI,ingress.email_required,Error: --email is required for TLS (needed for Let's Encrypt),エラー：TLS には --email が必要です（Let's Encrypt に必要）
CLI,ingress.email_reuse,Using existing email for ACME: {email},既存のメールを ACME に使用：{email}
CLI,ingress.enabling,Enabling TLS...,TLS を有効化中...
CLI,ingress.https_configured,   HTTPS is now configured with Let's Encrypt,   Let's Encrypt で HTTPS が設定しました
CLI,ingress.next_certs,   Certificates will be auto-provisioned on first request,   証明書は初回リクエスト時に自動プロビジョニングされます
CLI,ingress.next_deploy,   1. Deploy with: aegis deploy,   1. デプロイ：aegis deploy
CLI,ingress.next_dns,   3. Point your DNS A record for {domain} to your server IP,   3. {domain} の DNS A レコードをサーバー IP に向けてください
CLI,ingress.next_ports,   2. Ensure ports 80 and 443 are open on your server,   2. サーバーのポート 80 と 443 を開放してください
CLI,ingress.next_steps,Next steps:,次のステップ：
CLI,ingress.not_found,Ingress component not found. Adding it first...,Ingress コンポーネントが見つかりません。先に追加します...
CLI,ingress.project,Project: {path},プロジェクト：{path}
CLI,ingress.success,TLS enabled successfully!,TLS 有効化完了！
CLI,ingress.title,Aegis Stack - Enable Ingress TLS,Aegis Stack — Ingress TLS 有効化
CLI,ingress.tls_already,TLS is already enabled on this project.,このプロジェクトでは TLS は既に有効です。
CLI,ingress.tls_config,TLS Configuration:,TLS 設定：
CLI,ingress.tls_confirm,Enable TLS with this configuration?,この設定で TLS を有効にしますか？
CLI,ingress.updated_file,   Updated: {file},   更新：{file}
CLI,init.auto_added_by_services,Auto-added by services:,サービスにより自動追加：
CLI,init.auto_added_deps,Auto-added dependencies: {deps},依存を自動追加：{deps}
CLI,init.auto_detected_scheduler,Auto-detected: Scheduler with {backend} persistence,自動検出：スケジューラは {backend} で永続化
CLI,init.cancelled,Project creation cancelled,プロジェクト作成をキャンセルしました
CLI,init.compat_errors,Service-component compatibility errors:,サービスとコンポーネントの互換性エラー：
CLI,init.component_files,Component Files:,コンポーネントファイル：
CLI,init.config_core,Core:,コア：
CLI,init.config_infra,Infrastructure:,インフラ：
CLI,init.config_name,Name:,名前：
CLI,init.config_services,Services:,サービス：
CLI,init.config_title,Project Configuration,プロジェクト設定
CLI,init.confirm_create,Create this project?,このプロジェクトを作成しますか？
CLI,init.creating,Creating project: {name},プロジェクトを作成中：{name}
CLI,init.dependencies,Dependencies to be installed:,インストール予定の依存パッケージ：
CLI,init.dir_exists,Directory '{path}' already exists,ディレクトリ「{path}」は既に存在します
CLI,init.dir_exists_hint,Use --force to overwrite or choose a different name,--force で上書きするか、別の名前を指定してください
CLI,init.entrypoints,Entrypoints:,エントリーポイント：
CLI,init.error,Error creating project: {error},プロジェクト作成エラー：{error}
CLI,init.location,Location:,パス：
CLI,init.overwriting,Overwriting existing directory: {path},既存ディレクトリを上書き中：{path}
CLI,init.removing_dir,Removing existing directory: {path},既存ディレクトリを削除中：{path}
CLI,init.required_by,required by {services},（{services} が必要とするコンポーネント）
CLI,init.services_require,Services require components: {components},サービスに必要なコンポーネント：{components}
CLI,init.suggestion_add,Suggestion: Add missing components --components {components},提案：不足コンポーネントを追加 --components {components}
CLI,init.suggestion_interactive,"Alternatively, use interactive mode to auto-add service dependencies.",対話モードを使えば、依存関係を自動で解決できます。
CLI,init.suggestion_remove,Or remove --components to let services auto-add dependencies.,または --components を外してサービスの依存を自動追加させてください。
CLI,init.template_version,Template Version:,テンプレートバージョン：
CLI,init.title,Aegis Stack Project Initialization,Aegis Stack プロジェクト初期化
CLI,init.worker_queues,Worker Queues:,ワーカーキュー：
CLI,interactive.add_prompt,Add {description}?,{description} を追加しますか？
CLI,interactive.add_with_redis,Add {description}? (will auto-add Redis),{description} を追加しますか？（Redis も自動追加）
CLI,interactive.ai_configured,AI service configured,AI サービス設定完了
CLI,interactive.ai_db_added,Database ({backend}) added for usage tracking,データベース（{backend}）を追加（利用状況トラッキング用）
CLI,interactive.ai_db_already,Database already selected - usage tracking enabled,データベース選択済み — 利用状況トラッキング有効
CLI,interactive.ai_deps_optimized,Dependencies will be optimized for your selection,選択内容に合わせて依存パッケージを最適化します
CLI,interactive.ai_framework_intro,Choose your AI framework:,AI フレームワークを選んでください：
CLI,interactive.ai_framework_label,AI Framework Selection:,AI フレームワーク選択：
CLI,interactive.ai_header,AI & Machine Learning Services:,AI ＆機械学習サービス：
CLI,interactive.ai_langchain,LangChain - Popular framework with extensive integrations,LangChain — 豊富なインテグレーションを備えた人気フレームワーク
CLI,interactive.ai_no_providers,"No providers selected, adding recommended defaults...",プロバイダーが未選択のため、推奨デフォルトを追加します...
CLI,interactive.ai_ollama_docker,Docker - Run Ollama in a Docker container (Linux/Deploy),Docker — Docker コンテナで Ollama を実行（Linux/デプロイ向け）
CLI,interactive.ai_ollama_docker_hint,Note: First startup may take time to download models,注意：初回起動時はモデルのダウンロードに時間がかかります
CLI,interactive.ai_ollama_docker_ok,Ollama service will be added to docker-compose.yml,Ollama サービスが docker-compose.yml に追加されます
CLI,interactive.ai_ollama_host,Host - Connect to Ollama running on your machine (Mac/Windows),ホスト — ローカルの Ollama に接続（Mac/Windows 向け）
CLI,interactive.ai_ollama_host_hint,Make sure Ollama is running: ollama serve,Ollama が起動していることを確認：ollama serve
CLI,interactive.ai_ollama_host_ok,Ollama will connect to host.docker.internal:11434,Ollama は host.docker.internal:11434 に接続します
CLI,interactive.ai_ollama_host_prompt,Connect to host Ollama? (recommended for Mac/Windows),ホストの Ollama に接続しますか？（Mac/Windows 推奨）
CLI,interactive.ai_ollama_intro,How do you want to run Ollama?,Ollama の実行方法を選んでください：
CLI,interactive.ai_ollama_label,Ollama Deployment Mode:,Ollama デプロイモード：
CLI,interactive.ai_provider.anthropic,Anthropic - Claude models (Paid),Anthropic — Claude モデル（有料）
CLI,interactive.ai_provider.cohere,Cohere - Enterprise focus (Limited free),Cohere — エンタープライズ向け（無料枠あり）
CLI,interactive.ai_provider.google,Google - Gemini models (Free tier),Google — Gemini モデル（無料枠あり）
CLI,interactive.ai_provider.groq,Groq - Fast inference (Free tier),Groq — 高速推論（無料枠あり）
CLI,interactive.ai_provider.mistral,Mistral - Open models (Mostly paid),Mistral — オープンモデル（ほぼ有料）
CLI,interactive.ai_provider.ollama,Ollama - Local inference (Free),Ollama — ローカル推論（無料）
CLI,interactive.ai_provider.openai,OpenAI - GPT models (Paid),OpenAI — GPT モデル（有料）
CLI,interactive.ai_provider_intro,Choose AI providers to include (multiple selection supported),利用する AI プロバイダーを選択してください（複数選択可）
CLI,interactive.ai_provider_label,AI Provider Selection:,AI プロバイダー選択：
CLI,interactive.ai_provider_options,Provider Options:,プロバイダー一覧：
CLI,interactive.ai_provider_recommended,(Recommended),（推奨）
CLI,interactive.ai_pydanticai,"PydanticAI - Type-safe, Pythonic AI framework (recommended)",PydanticAI — 型安全で Python らしい AI フレームワーク（推奨）
CLI,interactive.ai_rag_compat_note,Enabling RAG will generate a project requiring Python 3.11-3.13,RAG を有効にすると Python 3.11〜3.13 が必要なプロジェクトが生成されます
CLI,interactive.ai_rag_compat_prompt,Enable RAG despite Python 3.14 incompatibility?,Python 3.14 非互換ですが RAG を有効にしますか？
CLI,interactive.ai_rag_enabled,RAG enabled with ChromaDB vector store,RAG 有効化済み（ChromaDB ベクトルストア使用）
CLI,interactive.ai_rag_label,RAG (Retrieval-Augmented Generation):,RAG（検索拡張生成）：
CLI,interactive.ai_rag_prompt,Enable RAG for document indexing and semantic search?,ドキュメントインデックスとセマンティック検索の RAG を有効にしますか？
CLI,interactive.ai_rag_warning,Warning: RAG requires Python <3.14 (chromadb/onnxruntime limitation),警告：RAG は Python <3.14 が必要です（chromadb/onnxruntime の制限）
CLI,interactive.ai_selected_framework,Selected framework: {framework},選択されたフレームワーク：{framework}
CLI,interactive.ai_selected_providers,Selected providers: {providers},選択されたプロバイダー：{providers}
CLI,interactive.ai_sync_desc,Syncing fetches latest model data from OpenRouter/LiteLLM APIs,同期すると OpenRouter/LiteLLM API から最新モデル情報を取得します
CLI,interactive.ai_sync_label,LLM Catalog Sync:,LLM カタログ同期：
CLI,interactive.ai_sync_prompt,Sync LLM catalog during project generation?,プロジェクト生成時に LLM カタログを同期しますか？
CLI,interactive.ai_sync_skipped,LLM sync skipped - static fixture data will be available,LLM 同期をスキップ — 静的フィクスチャデータが使用されます
CLI,interactive.ai_sync_time,This requires network access and takes ~30-60 seconds,ネットワーク接続が必要で、約30〜60秒かかります
